path;subset;source
Carbapenemases_illumina/402738-10_S15_L001_R1_001_val_1.fq.gz;R1;Illumina
Carbapenemases_illumina/402859-10_S17_L001_R1_001_val_1.fq.gz;R1;Illumina
Carbapenemases_illumina/400793-11_S18_L001_R1_001_val_1.fq.gz;R1;Illumina
Carbapenemases_illumina/704984-11_S19_L001_R1_001_val_1.fq.gz;R1;Illumina
Carbapenemases_illumina/501326-11_S20_L001_R1_001_val_1.fq.gz;R1;Illumina
Carbapenemases_illumina/403420-17_S24_L001_R1_001_val_1.fq.gz;R1;Illumina
Carbapenemases_illumina/503397-12_S20_L001_R1_001_val_1.fq.gz;R1;Illumina
Carbapenemases_illumina/401075-12_S23_L001_R1_001_val_1.fq.gz;R1;Illumina
Carbapenemases_illumina/400266-13_S1_L001_R1_001_val_1.fq.gz;R1;Illumina
Carbapenemases_illumina/401717-13_S9_L001_R1_001_val_1.fq.gz;R1;Illumina
Carbapenemases_illumina/402894-13_S14_L001_R1_001_val_1.fq.gz;R1;Illumina
Carbapenemases_illumina/401508-14_S4_L001_R1_001_val_1.fq.gz;R1;Illumina
Carbapenemases_illumina/401608-14_S10_L001_R1_001_val_1.fq.gz;R1;Illumina
Carbapenemases_illumina/401801-14_S11_L001_R1_001_val_1.fq.gz;R1;Illumina
Carbapenemases_illumina/804135-14_S12_L001_R1_001_val_1.fq.gz;R1;Illumina
Carbapenemases_illumina/403669-15_S41_L001_R1_001_val_1.fq.gz;R1;Illumina
Carbapenemases_illumina/403850-15_S42_L001_R1_001_val_1.fq.gz;R1;Illumina
Carbapenemases_illumina/404197-15_S44_L001_R1_001_val_1.fq.gz;R1;Illumina
Carbapenemases_illumina/403773-16_S1_L001_R1_001_val_1.fq.gz;R1;Illumina
Carbapenemases_illumina/403774-16_S2_L001_R1_001_val_1.fq.gz;R1;Illumina
Carbapenemases_illumina/403869-16_S4_L001_R1_001_val_1.fq.gz;R1;Illumina
Carbapenemases_illumina/404431-16_S6_L001_R1_001_val_1.fq.gz;R1;Illumina
Carbapenemases_illumina/404556-16_S7_L001_R1_001_val_1.fq.gz;R1;Illumina
Carbapenemases_illumina/401084-17_S24_L001_R1_001_val_1.fq.gz;R1;Illumina
Carbapenemases_illumina/402738-10_S15_L001_R2_001_val_2.fq.gz;R2;Illumina
Carbapenemases_illumina/402859-10_S17_L001_R2_001_val_2.fq.gz;R2;Illumina
Carbapenemases_illumina/400793-11_S18_L001_R2_001_val_2.fq.gz;R2;Illumina
Carbapenemases_illumina/704984-11_S19_L001_R2_001_val_2.fq.gz;R2;Illumina
Carbapenemases_illumina/501326-11_S20_L001_R2_001_val_2.fq.gz;R2;Illumina
Carbapenemases_illumina/403420-17_S24_L001_R2_001_val_2.fq.gz;R2;Illumina
Carbapenemases_illumina/503397-12_S20_L001_R2_001_val_2.fq.gz;R2;Illumina
Carbapenemases_illumina/401075-12_S23_L001_R2_001_val_2.fq.gz;R2;Illumina
Carbapenemases_illumina/400266-13_S1_L001_R2_001_val_2.fq.gz;R2;Illumina
Carbapenemases_illumina/401717-13_S9_L001_R2_001_val_2.fq.gz;R2;Illumina
Carbapenemases_illumina/402894-13_S14_L001_R2_001_val_2.fq.gz;R2;Illumina
Carbapenemases_illumina/401508-14_S4_L001_R2_001_val_2.fq.gz;R2;Illumina
Carbapenemases_illumina/401608-14_S10_L001_R2_001_val_2.fq.gz;R2;Illumina
Carbapenemases_illumina/401801-14_S11_L001_R2_001_val_2.fq.gz;R2;Illumina
Carbapenemases_illumina/804135-14_S12_L001_R2_001_val_2.fq.gz;R2;Illumina
Carbapenemases_illumina/403669-15_S41_L001_R2_001_val_2.fq.gz;R2;Illumina
Carbapenemases_illumina/403850-15_S42_L001_R2_001_val_2.fq.gz;R2;Illumina
Carbapenemases_illumina/404197-15_S44_L001_R2_001_val_2.fq.gz;R2;Illumina
Carbapenemases_illumina/403773-16_S1_L001_R2_001_val_2.fq.gz;R2;Illumina
Carbapenemases_illumina/403774-16_S2_L001_R2_001_val_2.fq.gz;R2;Illumina
Carbapenemases_illumina/403869-16_S4_L001_R2_001_val_2.fq.gz;R2;Illumina
Carbapenemases_illumina/404431-16_S6_L001_R2_001_val_2.fq.gz;R2;Illumina
Carbapenemases_illumina/404556-16_S7_L001_R2_001_val_2.fq.gz;R2;Illumina
Carbapenemases_illumina/401084-17_S24_L001_R2_001_val_2.fq.gz;R2;Illumina
nanopore/20180104_Carbapenemases/porechop/BC12.fastq.gz;seq;nanopore
nanopore/20180123_Carbapenemases/porechop/BC11.fastq.gz;seq;nanopore
nanopore/20180123_Carbapenemases/porechop/BC12.fastq.gz;seq;nanopore
nanopore/20180108_Carbapenemases/porechop/BC11.fastq.gz;seq;nanopore
nanopore/20180108_Carbapenemases/porechop/BC12.fastq.gz;seq;nanopore
nanopore/20180420_Carbapenemases/porechop/BC10.fastq.gz;reseq;nanopore
nanopore/20180420_Carbapenemases/porechop/BC12.fastq.gz;reseq;nanopore
